param_name,seed,avg_test_pcc,avg_test_rmse,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc,threshold,squared
thresh10.0_squaredTrue,4.5,0.7183273489290969,1.3095862243356897,0.9997357666480259,0.046417244983943264,0.6976178001023887,0.717515994310279,0.7058575394201894,0.7014407144029433,0.7270747083920022,0.7329386091145278,0.7148983588658618,0.7791113863611243,0.723818767493157,0.6829996108284956,10.0,True
thresh9.0_squaredTrue,4.5,0.7175094747490042,1.3108819514038144,0.999688022953008,0.05050569520252481,0.6985466377741496,0.7136517570777816,0.7072440250427943,0.7015134511950224,0.7283546505052334,0.7317685252300097,0.7097990081934679,0.7818276074491194,0.7216540855400848,0.6807349994823787,9.0,True
thresh8.0_squaredTrue,4.5,0.7165633038981165,1.313021162851449,0.9996347758599191,0.054759948489292484,0.6985095542331593,0.7167293734239358,0.7085809496707094,0.7024460112591733,0.7276195692380332,0.7310789635670786,0.7068724067851233,0.7786463776912647,0.7183029834168033,0.6768468496958833,8.0,True
thresh11.0_squaredTrue,4.5,0.7161778067350391,1.3132501737617486,0.9997625697027193,0.043940707579074575,0.690747628323844,0.7151235524448836,0.7063368636510359,0.6976594437904666,0.7269187515347699,0.7348653788409856,0.714688731750347,0.7743814946104786,0.7214387951323662,0.6796174272712138,11.0,True
thresh8.0_squaredFalse,4.5,0.7160112790965469,1.3141675653549898,0.9996455279495141,0.0539287447780189,0.6972534148592341,0.714091050699926,0.7094689061451425,0.6997260494431583,0.7272188551286127,0.7292428853260662,0.7099461834681468,0.7778110995262433,0.7154313835585628,0.6799229628103769,8.0,False
thresh9.0_squaredFalse,4.5,0.715701573993098,1.3142807816311963,0.9996965318955369,0.0497752692500084,0.6940676404356146,0.715309478488646,0.706059384003525,0.6907644118281159,0.7258027636563432,0.7278489910168187,0.7120987356136718,0.782363363371352,0.7202613479563064,0.6824396235605884,9.0,False
thresh12.0_squaredTrue,4.5,0.715638207849528,1.3143674723238266,0.9997871025674673,0.04155980209290624,0.6902885080946344,0.7145383803774282,0.7074099977515624,0.7015332633974162,0.7257568167229932,0.7378334124921041,0.7136026863300085,0.7704800458391133,0.7203735154175266,0.6745654520724935,12.0,True
thresh10.0_squaredFalse,4.5,0.7152725953872402,1.3151137293986606,0.9997404736040474,0.04597272644255023,0.689136989765263,0.716382715139561,0.7043890062673224,0.694821664043072,0.7249914034598974,0.7309593081824299,0.7184346008215312,0.7733004253297767,0.7206468386098723,0.6796630022536739,10.0,False
thresh7.0_squaredFalse,4.5,0.715023791239526,1.3165127831514378,0.9995772622394339,0.05903957290789502,0.7026866507744103,0.7120158580015117,0.706011931213897,0.6935635772312725,0.7263497661427749,0.7333986763660998,0.7011422575031265,0.7776279629969165,0.7151798092907795,0.6822614228744712,7.0,False
thresh6.0_squaredTrue,4.5,0.7148166489480096,1.3169954958999535,0.9994080952483684,0.07022859186857525,0.7002996106391942,0.720281576791213,0.7035726013612623,0.6990645756914038,0.7175946265474161,0.7295376529719814,0.7007889135990195,0.7766062691994865,0.7210555084383721,0.6793651542407477,6.0,True
thresh11.0_squaredFalse,4.5,0.7144843769939979,1.3162198297949215,0.9997722483184377,0.04299623971379177,0.6876162788448175,0.7139154261491333,0.7069845777469524,0.6971225928972961,0.7232313072541773,0.73288246281878,0.7159724070075374,0.7674623488485379,0.7216008669991452,0.6780555013736022,11.0,False
thresh7.0_squaredTrue,4.5,0.714438133951696,1.3175459253532693,0.9995606045571325,0.060246047187509436,0.7010814442603117,0.7118758672325793,0.7052416047091172,0.6972004843930218,0.7223531665369828,0.732208481300404,0.7008885333248653,0.7769469357109237,0.7165825046959806,0.680002317352774,7.0,True
thresh6.0_squaredFalse,4.5,0.7143087613855053,1.3180548080400718,0.9994133650898718,0.06986240683465676,0.7021047555377109,0.717584552591161,0.7020047592868955,0.6944112973132914,0.7192449663828615,0.7313329893515653,0.6989672815228415,0.7749706455480811,0.7246027244976203,0.6778636418230237,6.0,False
thresh12.0_squaredFalse,4.5,0.7126860844275034,1.319884476459431,0.9998045097976505,0.039772306567585056,0.6828285336680873,0.7131124933591979,0.7046074890517605,0.7030962345236732,0.7177840257664,0.735178585546859,0.7127686813638057,0.7647874742753529,0.7212693352735247,0.6714279914463721,12.0,False
thresh5.0_squaredFalse,4.5,0.711350755359659,1.3229630993840276,0.9991751989570494,0.08334206042485703,0.6962057423400836,0.7119756008361187,0.7002668363042821,0.6997592522566219,0.7166275618233143,0.7226363734256795,0.7002242396237827,0.7731982853533784,0.7203017087756182,0.6723119528577097,5.0,False
thresh5.0_squaredTrue,4.5,0.7106295655083402,1.3245041054726556,0.9991902326156336,0.08258622651713735,0.696337843250966,0.7097396303877993,0.6986037520868481,0.6992092976540896,0.7173624697339052,0.7203960025883005,0.701246749257347,0.7735680404655642,0.7180244735903056,0.671807396068276,5.0,True
thresh4.0_squaredTrue,4.5,0.6949581985071036,1.353619824300958,0.9980227350778396,0.13015840845466692,0.6746806857378909,0.6792858477056275,0.6884753071545023,0.6869843246134273,0.7081742109153337,0.7024675947974022,0.6777987521380582,0.7553962470192491,0.7094402594585266,0.6668787555310184,4.0,True
thresh4.0_squaredFalse,4.5,0.6949444058591171,1.3539151665954783,0.9980191386420876,0.1302671293228689,0.6735952672657874,0.679960195215154,0.6884447859032642,0.6866451285357911,0.7068722130437923,0.7015008794419884,0.6798893465991251,0.7565971752888061,0.7085572722963256,0.6673817950011365,4.0,False
